Study_Hours,Attendance_Percent,Assignments_Completed,Previous_Score,Sleep_Hours,Exam_Score
2.97,78.5,7.2,73.8,7.4,100.0
8.04,97.7,6.0,84.6,4.4,100.0
6.14,89.7,8.5,67.4,6.1,100.0
5.08,60.9,6.5,61.9,7.7,96.9
4.9,71.6,7.9,60.0,8.8,96.5
9.7,87.9,7.7,80.3,7.6,100.0
10.96,67.4,6.7,63.7,6.2,100.0
2.95,86.8,5.9,68.7,6.2,95.7
8.18,95.8,7.3,77.5,7.1,100.0
4.28,79.3,6.9,84.2,5.5,100.0
11.64,96.1,9.2,82.4,8.3,100.0
11.12,95.2,5.9,50.4,9.5,100.0
7.99,81.4,8.8,54.4,6.4,100.0
9.28,81.7,9.6,72.5,4.3,100.0
6.67,83.8,8.6,75.2,6.0,100.0
10.08,86.4,8.8,71.4,6.8,100.0
5.93,66.4,7.0,84.3,6.3,100.0
4.73,80.6,8.2,87.2,8.5,100.0
4.06,65.3,8.3,67.1,8.2,94.1
3.49,78.5,4.5,70.2,6.0,94.9
6.78,79.8,6.9,81.6,8.5,100.0
5.74,63.8,5.3,78.8,9.1,100.0
8.29,69.4,4.1,55.5,5.0,95.7
1.14,78.0,7.4,51.9,6.7,89.2
5.92,100.0,8.2,46.0,7.2,100.0
5.02,68.1,6.3,67.8,8.8,100.0
3.15,83.2,8.4,60.6,5.1,97.2
7.54,73.1,8.5,59.5,6.6,97.5
5.79,78.2,7.6,48.8,6.2,100.0
4.3,91.9,6.6,67.2,5.9,100.0
3.3,85.1,8.7,49.1,6.8,100.0
10.62,86.3,10.0,53.3,7.9,100.0
9.77,86.9,3.8,63.4,7.8,100.0
7.67,87.8,8.8,73.6,8.6,100.0
4.8,60.4,5.4,68.2,6.4,83.9
11.42,85.9,9.0,76.3,7.2,100.0
7.2,81.1,9.3,67.0,7.7,100.0
5.76,86.0,6.8,62.6,8.8,98.4
10.9,90.4,6.7,63.8,5.9,100.0
4.51,86.2,7.5,56.7,7.0,97.8
8.66,88.9,7.7,68.1,5.8,100.0
4.45,70.3,7.1,82.3,7.5,99.9
3.88,86.5,9.5,76.8,5.1,100.0
8.71,80.9,4.7,76.6,5.6,100.0
3.51,81.1,6.6,72.4,7.0,98.4
6.42,95.0,8.7,70.6,5.6,100.0
7.38,77.1,7.0,69.0,7.4,100.0
3.08,75.3,7.1,54.6,6.0,86.7
9.04,68.9,7.0,54.0,4.2,100.0
7.03,79.0,9.2,56.1,6.1,100.0
7.84,92.7,8.7,79.1,8.3,100.0
5.09,65.3,5.1,60.0,7.5,83.2
5.62,84.5,5.5,75.4,7.7,100.0
6.44,56.7,6.8,53.8,4.0,88.2
6.17,75.1,7.3,64.4,6.4,100.0
8.43,86.4,9.1,55.8,7.7,100.0
7.35,76.6,7.3,76.1,6.7,100.0
5.58,70.0,9.9,91.7,8.0,100.0
1.02,78.3,10.0,52.7,7.6,83.3
9.73,91.9,5.9,71.3,6.3,100.0
6.71,96.9,7.8,57.7,8.2,100.0
4.59,97.1,9.4,76.4,8.8,100.0
6.5,88.8,7.9,88.2,7.9,100.0
2.03,85.6,8.1,61.4,7.8,90.1
10.95,91.9,6.7,80.0,5.5,100.0
11.89,70.4,6.5,66.4,7.2,100.0
1.65,72.3,7.9,59.0,7.3,92.0
4.94,94.9,9.3,63.2,5.8,100.0
9.03,90.6,5.6,82.1,6.6,100.0
4.46,90.8,7.3,73.1,6.2,100.0
7.24,84.2,10.0,67.0,8.5,100.0
5.58,73.8,7.2,65.9,5.8,95.8
9.52,71.2,7.8,60.5,7.3,100.0
11.54,91.4,9.0,76.0,6.9,100.0
10.77,92.8,8.6,94.3,7.6,100.0
7.83,70.8,7.2,66.0,6.9,100.0
2.76,74.6,7.1,55.4,5.9,85.0
11.42,81.0,10.0,72.7,7.3,100.0
1.26,90.7,5.8,74.6,9.4,100.0
4.27,78.6,5.1,81.3,7.6,95.5
4.1,73.5,9.5,53.3,8.3,100.0
8.39,91.9,9.8,71.7,5.1,100.0
6.36,88.0,5.8,57.7,9.2,100.0
2.02,75.1,9.1,85.0,8.5,100.0
1.14,75.4,8.2,77.4,6.9,94.1
7.65,93.1,7.3,65.8,7.9,100.0
6.41,69.2,7.7,53.2,9.1,100.0
7.62,79.1,10.0,91.5,6.9,100.0
7.2,86.5,8.9,66.3,5.7,100.0
10.8,83.6,8.6,79.2,8.0,100.0
11.1,91.3,8.5,44.6,6.7,100.0
3.07,64.9,6.5,69.7,7.6,95.5
11.36,82.2,7.0,77.6,6.6,100.0
9.66,85.0,7.3,41.6,5.1,100.0
8.03,85.3,6.0,71.5,6.4,100.0
8.26,87.8,8.5,83.7,7.6,100.0
7.01,70.3,9.7,50.0,5.7,100.0
11.09,96.5,7.4,66.5,9.0,100.0
3.57,86.5,6.1,63.8,4.5,90.2
7.59,87.6,6.2,60.4,5.9,100.0
9.96,76.2,10.0,60.4,7.3,100.0
2.48,83.8,6.5,57.1,7.2,91.3
7.77,95.3,5.4,58.6,8.0,100.0
5.43,81.8,4.9,67.2,7.2,92.3
9.43,84.0,6.7,69.0,9.0,100.0
1.74,85.2,9.8,51.7,6.4,94.8
7.67,65.7,9.8,60.7,7.7,100.0
10.43,80.3,8.6,69.2,6.2,100.0
7.91,88.9,6.3,82.6,8.4,100.0
4.53,77.1,9.1,82.7,6.8,100.0
8.21,81.6,7.2,67.7,6.6,100.0
4.72,81.7,8.7,69.4,7.0,98.8
8.35,66.2,10.0,50.8,5.9,97.0
2.41,90.0,7.2,68.9,6.5,91.1
4.08,68.5,5.1,45.0,5.1,80.4
1.36,86.2,10.0,63.3,6.6,86.6
1.92,80.7,7.3,52.1,6.9,77.6
7.1,78.6,7.3,58.7,7.8,100.0
3.55,82.7,4.7,69.6,6.5,97.7
6.68,89.5,9.0,70.5,5.4,100.0
8.26,90.1,9.5,83.2,6.9,100.0
10.69,77.7,8.1,70.6,6.3,100.0
4.91,80.4,9.6,61.7,5.9,100.0
4.51,73.4,6.9,75.7,9.1,100.0
4.45,67.4,10.0,47.7,6.7,87.3
2.3,91.5,9.0,88.2,10.0,100.0
8.3,71.0,10.0,42.0,6.6,100.0
10.02,74.6,4.6,75.9,5.7,100.0
6.2,85.8,5.4,74.5,6.7,100.0
7.14,68.5,9.2,60.8,6.0,96.5
11.54,86.8,8.3,62.5,7.9,100.0
8.69,73.6,6.0,49.8,6.4,100.0
9.2,70.6,7.8,69.2,7.0,100.0
10.78,76.2,9.3,74.4,8.0,100.0
3.37,73.5,9.7,61.3,6.9,92.1
8.15,84.4,8.1,73.0,7.3,100.0
8.89,96.2,7.8,76.1,6.3,100.0
10.26,88.7,8.5,58.6,8.1,100.0
4.78,86.6,7.6,78.1,9.0,100.0
8.58,75.8,10.0,73.4,6.8,100.0
7.65,79.6,6.9,68.7,5.9,100.0
5.5,82.9,7.7,77.1,7.2,100.0
2.12,81.2,7.3,71.6,9.1,100.0
4.88,83.2,10.0,59.1,6.8,100.0
11.6,69.8,6.7,60.1,8.8,100.0
3.38,99.4,9.3,70.5,6.0,100.0
2.25,68.3,7.6,81.1,6.8,100.0
5.04,80.2,6.9,70.0,8.3,100.0
2.11,89.9,3.9,63.1,7.4,96.0
3.94,74.1,7.6,68.3,6.5,91.2
11.06,92.1,10.0,53.7,9.2,100.0
4.51,67.4,6.4,81.6,7.0,97.5
7.44,74.1,2.4,84.8,7.2,100.0
3.63,58.0,8.2,87.8,6.7,97.2
8.35,91.9,5.5,78.5,6.0,100.0
2.4,69.6,4.4,59.7,7.3,74.9
9.69,74.6,6.7,66.2,8.6,100.0
5.65,89.1,5.2,63.0,6.9,88.5
3.02,84.9,9.5,72.9,8.5,100.0
9.34,92.1,8.0,83.9,6.0,100.0
7.1,87.9,8.7,38.4,7.3,99.8
5.82,90.3,6.4,72.6,7.8,100.0
3.65,76.6,7.4,70.7,7.7,100.0
9.6,80.5,6.6,71.1,6.8,100.0
5.02,88.8,8.0,75.7,4.7,100.0
1.47,88.9,3.5,57.3,6.9,88.3
11.62,90.8,7.5,78.9,8.1,100.0
1.34,73.7,9.4,71.6,7.8,94.2
2.33,70.4,10.0,65.3,6.9,97.7
6.12,68.8,9.0,67.9,8.7,100.0
3.29,76.6,7.8,62.5,5.8,98.2
4.69,80.4,4.4,68.8,7.5,93.0
7.24,69.4,7.8,74.7,9.0,100.0
11.54,79.5,4.0,52.4,8.9,100.0
11.3,87.7,5.9,63.6,9.4,100.0
1.81,91.3,7.1,62.1,5.6,95.9
10.39,75.5,7.0,67.3,6.6,100.0
2.85,87.0,9.1,64.3,7.2,97.0
9.93,68.6,7.0,46.7,8.0,100.0
4.26,74.8,5.2,73.2,5.6,87.9
8.9,82.4,6.6,81.9,7.4,100.0
8.91,74.9,6.1,59.4,6.0,100.0
10.36,73.6,9.4,69.6,6.9,100.0
11.78,84.0,4.8,59.5,5.1,100.0
4.03,71.5,6.6,70.1,7.8,96.7
7.91,82.5,9.1,65.2,4.7,100.0
9.13,80.3,5.9,80.8,7.5,100.0
1.88,86.4,8.2,61.1,5.5,97.8
8.29,88.9,7.5,75.4,6.1,100.0
4.54,82.7,6.9,59.1,7.7,99.1
2.78,76.4,4.3,61.3,7.4,86.0
7.04,91.4,7.5,69.0,5.5,100.0
6.08,83.3,6.5,48.2,4.1,94.3
7.35,72.5,8.0,57.2,7.3,100.0
8.06,83.1,4.9,77.6,7.3,100.0
6.49,75.2,8.4,59.5,5.2,100.0
10.96,56.1,8.7,51.6,9.2,100.0
2.96,71.7,10.0,50.6,8.1,96.5
4.18,77.5,6.6,68.6,5.2,100.0
4.92,76.8,6.2,61.0,8.1,98.4
9.52,66.0,9.1,68.3,5.4,100.0
8.17,77.8,5.6,34.3,8.9,93.6
3.27,85.6,5.9,58.0,9.0,96.3
