Study_Hours;Attendance_Percent;Assignments_Completed;Previous_Score;Sleep_Hours
2.6;67.3;10;76.2;8.2
3.7;78.4;10;79.4;7.6
9.1;81.3;10;100;8.3
4.3;66.2;7;87.3;7.5
4;62.6;10;74.9;6.9
4.2;70.5;10;78.1;8.4
4.9;75.4;8;68.2;6.9
4;72;7;97.8;7.6
2.9;71.6;9;83.8;6.4
5.6;68.2;7;85;7.8
4.6;75.4;9;76.4;5.9
4.5;60.9;9;97.4;8.1
3.6;81.9;10;76.7;5.8
6.3;91.1;10;100;7.8
5.5;81.7;9;94.7;6.3
5.5;62;10;90.4;7.2
4.7;78.2;10;85.2;7.8
2.2;59.6;8;67.6;7.4
4.5;81.5;10;100;6.8
6.7;83.8;10;95.2;7.2
6.7;97.7;10;97.7;7.7
5.9;83.9;10;100;7.5
7.1;72.2;10;92.5;8.1
5.1;55.7;10;65.5;6.9
6.6;90.9;10;88.5;8.4
2.2;62.2;9;64.5;5.9
3;58.9;8;74;6
4.4;76.2;10;94.3;7.3
5.8;85.4;10;100;9.5
6.3;76.1;10;99.6;9.1
3.7;67.7;7;85.6;7.7
6.8;82.2;10;93.9;8
4.1;78.2;10;93.1;7.7
6.4;85.1;10;100;5.9
4.9;78.6;10;92.9;6
3.5;69.3;4;86.1;6.9
3.4;59.4;10;82.3;8
6.7;85.7;10;100;7.8
6.7;82.2;10;100;7.9
4.4;67.5;10;100;7.9
4.6;76.6;10;90;7.6
4.5;75.7;10;99;8
3.7;62.1;8;85;9.3
4.4;74.3;8;91;5.8
5.6;87.9;10;80.1;7.4
3.6;71.2;8;82.9;7.7
6;77.8;10;75.7;4.5
5.1;70.9;10;100;6.8
5.7;82.2;10;81.3;8.5
4.4;75.4;8;93.8;9
5.3;84;10;94.4;8.7
3;74.3;7;93.3;8.3
2.9;66.6;8;84.6;8.5
7.8;75.3;10;100;7.7
5.2;71.4;9;94.8;8.3
6.1;97.3;10;93;7.8
5.9;61.6;7;92.3;7.9
5.9;65.8;7;78.6;7.7
4.4;80.3;10;94.3;8
2.8;69.2;5;58.8;6
5.1;83.3;10;100;7.9
3.4;66.3;8;73.7;6.2
4.5;69;10;100;9.5
5.3;77.6;9;80.7;7.6
7.2;80.1;10;96.7;6.9
4.8;65.6;10;78.8;5.4
4;57.7;9;97;9.5
8.2;78;10;99.2;7.4
6.4;79.9;10;99.4;7
5.8;73.8;10;99.1;6.7
6.3;84.3;10;97.2;7.3
3.1;67.3;9;88.5;8
9;100;10;100;6.9
6.2;80.2;10;100;7.9
8.1;96.9;10;100;9.3
2.6;69.4;8;80.7;6.7
6.2;100;10;100;7.9
10;100;10;96;8.6
4.5;87.8;10;100;8.3
5.6;82.1;10;100;8.3
6.6;83.2;10;100;8.2
5.5;69.1;8;91;7.4
6.8;74.7;10;100;9.5
3;71.8;7;79.8;7.6
4.9;75.9;10;81.6;8.8
6.1;76.7;10;91;7.9
3.9;74.4;10;93.7;7.8
5;58.8;8;80.6;7
8.3;71.4;10;91.9;8.5
4.6;72.2;8;86.6;6.1
7.4;87.5;10;100;6.7
3.4;71.8;8;93.3;8.6
7.5;74.4;10;95.4;7.9
3.7;80.3;6;70;6.6
6.6;72.1;7;92.1;7.1
3.2;74.1;7;68.6;6.8
3.1;66.7;7;83;7.8
5.4;71.1;10;97;7.7
5.9;94.6;10;100;7.8
3.4;75.4;7;83;7.1
1.7;50;8;65.4;8.1
4.3;75.5;10;86.7;6.4
1.4;61.3;8;66.2;7.4
4.5;57.2;9;88.9;7.2
2.1;77.6;9;89.5;6.5
3.7;83.6;9;91.6;7.9
6.8;90.8;9;92.8;7.5
5.5;79.9;8;84.9;7.4
4.1;86.3;10;85.9;8
4.1;67.5;10;100;8.2
6.9;77.9;10;97.9;7.6
5.7;81.8;10;100;7.1
5.2;81;10;100;8
4.3;79.7;10;100;6.7
2.9;61.4;9;85.7;7.8
7.6;93.1;10;93.5;7.1
6.5;86;9;97.7;7.1
5.4;94.8;10;98.1;8
3.7;62.2;7;84.2;7.3
5.9;73.1;8;82.1;8.6
6.5;75.4;10;83.4;9.3
6.7;87.9;10;99.2;7.9
8.4;92.1;10;100;9.3
5.4;79.7;9;85.9;7
4.6;76;9;85.3;7.5
4.9;67;7;79.1;5.2
6;67.3;10;90.7;8
4.9;80.5;9;96.5;4.9
4;57.9;10;86.9;8.5
6.4;77.5;10;100;7.6
4.9;77.3;10;82;8.3
5.6;93.2;10;86.8;8.4
2.2;62.2;7;68.8;6.7
5.1;85;10;100;7.2
5.6;66.9;10;90.9;7.5
8.8;100;9;96.8;8.7
6.9;89.1;10;96.9;8.2
4.8;66.9;9;78.6;9.3
4.6;66.5;10;78.2;7.3
4.8;67.1;10;86.2;9.1
7.6;87.6;8;99.9;8.4
5;88.8;10;97.7;6.4
8;82.1;10;100;8.5
5.3;68;10;86.2;8.5
6;84.1;10;100;8.1
6.3;75.7;10;92.4;6.9
4.6;64.7;10;89.9;6.4
6;89.5;9;98.6;7.1
5;77.3;10;90.6;7.1
4.5;77.6;10;87.2;6.3
8;87.1;10;95.2;8.9
5.6;89;9;96.9;6.3
6;79.4;10;92.4;6
5.2;69.7;6;71;6.7
7.2;81.5;10;100;7.4
6.9;73.2;10;92.8;8.4
6;90.8;10;100;7.8
2.7;71.5;7;81.1;7.8
3.5;80.3;10;92;7.9
3.5;69.1;9;78.5;8
5.5;96.8;9;100;6.9
2.6;66;6;78.9;7.6
5.9;73.2;9;87.1;6.8
7.2;75.2;9;100;8.6
6.3;76.8;7;88.6;7.6
4.4;71.3;10;93.1;8
4.6;84.7;10;99;6.6
5.7;76.1;10;100;7.5
6.4;87.8;10;100;8.7
3.6;69.2;10;95.5;5.8
6.4;100;10;100;7.2
6.1;78.1;9;90.4;5.1
4;73.6;8;86.1;8.9
7.9;85.1;10;100;8.3
3.5;68.3;9;93.7;9.3
4.5;70.2;10;92.4;9.5
3.5;65.7;10;75.1;7.2
3.7;69.2;7;73.1;8.5
7;86.4;10;100;9.5
7.8;91.6;9;100;9.2
3.3;80.2;10;85.1;6.4
2.6;79.7;10;100;8.8
5.5;89.8;10;91.7;4.5
4.5;86;10;98.5;7.9
3.3;75.8;10;85.4;7.9
6.5;79.8;8;94.1;9.3
